"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",84957718
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",50694299
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",84641446
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",67754687
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",44258540
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",58206433
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",72585172
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",50368283
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",23458692
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",29437705
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",79682397
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",23360899
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",82369717
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",89716418
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",59134043
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",78566805
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",55434218
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",16990491
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Sagar Indie] ",72785695
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",77036828
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",73130923
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",34068103
" Contest:[Private Practice Members Representatives][ Sagar Indie] ",93848623
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",61102015
